category	name	action	resource	scope	accessType	isActive
{"ja":"材料"}	{"ja":"材料更新(チーム)"}	update	material	team	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料更新(全て)"}	update	material	all	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料更新(ゾーン)"}	update	material	zone	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料閲覧(自分の)"}	read	material	own	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料閲覧(チーム)"}	read	material	team	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料閲覧(全て)"}	read	material	all	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料閲覧(ゾーン)"}	read	material	zone	BOTH	TRUE
{"ja":"材料"}	{"ja":"材料削除"}	delete	material	own	WEB	TRUE
{"ja":"材料"}	{"ja":"材料削除"}	delete	material	team	WEB	TRUE
{"ja":"材料"}	{"ja":"材料削除"}	delete	material	all	WEB	TRUE
{"ja":"材料"}	{"ja":"材料削除(ゾーン)"}	delete	material	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先作成"}	create	supplier	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先作成"}	create	supplier	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先作成"}	create	supplier	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先作成(ゾーン)"}	create	supplier	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先更新(自分の)"}	update	supplier	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先更新(チーム)"}	update	supplier	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先更新(全て)"}	update	supplier	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先更新(ゾーン)"}	update	supplier	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先閲覧(自分の)"}	read	supplier	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先閲覧(チーム)"}	read	supplier	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先閲覧(全て)"}	read	supplier	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先閲覧(ゾーン)"}	read	supplier	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先削除"}	delete	supplier	own	WEB	TRUE
